tweets,labels
chale drop odds 🥺 over the week bet chop me saa,Negative
eiii bra you dey gh😂😂😂😂,Neutral
thank very much bra mrhaglah for always playing me shegahs song cool chop i really love that song waa😃😃 mrhaglah sunupmelody hit,Positive
so wont they stop this thing  pushups na soldiers fo koraaa by saa adwuma no,Negative
yestee them waste my time for there saa i lef like,Negative
see i laugh saa😂😂,Positive
d for daben hmmm  a drop saa you never locate me,Negative
chale ur age doesn’t match your kw 😃anyways happy birthday bra 🎂,Neutral
bro i root saa🤣,Negative
bra nie punchline nice one,Positive
na wo se na £f£ saa no eeeiii why u no dey chop anaa 🤣🥰,Neutral
low key koko too do saa reach  cedis ei,Negative
now playing  x bra  roll like marijuana off the thelinkup mixtape,Neutral
some of you are mad or what  what at all does these politicians give you for a vibrant youth like you to be following them like dogs,Neutral
s man b bra aa na y kelewele na ay 😒,Negative
enzo is bigger than him bra he won world also fifa youngest player 😂😂,Positive
dem go come beat u oo bra,Positive
chale a vex saa,Negative
big boss i don tweet saa ano barb your giveaway some da today dier make my luck shine,Positive
the baby celebration bout to hit on saturday 🔥,Positive
he dey tension me saa hoh,Negative
must they always firm this n post it charlie we the youth are struggling hard oo they should give us a break bra forget me wai na ano get money 🤣🤣,Negative
you then am vibe or weytin ei presido asɛm bɛn koraa ni addo  svo,Neutral
i fit make horny saa then blood dey comot nose,Negative
wei nso y player 🤣🤣,No Sentiment
shatta you make i laf saa wey i come step  ma remote top n break’am 😂😂😂,Positive
lol see rashford frɛ saint wallahi,Negative
oh saa  sxny,No Sentiment
akwaaba magic and they will be showing indian movies,No Sentiment
people de like these things too mich so noor mudryk come do small show against lipool them make noise saa,Negative
saa na osofo t osofo maame herh osofo maame y bad kyn jay bhad,Negative
so u no go bring ma own enti saa na yɛdi ɔdɔ 😌😌,Neutral
say bra and lemme hear 😆😆,No Sentiment
idey somewhere you come convince me say make i do router every  days biaa the router go shun dey work asɛm bɛn nie 😂,Negative
one thing you for never talk for this life the money no be in own ibi in poppy in own ei 😂ni papa sika nyɛ nu sika na ɛyɛ hena sika tarzan,Positive
😂😂😂bro am lectures dey go on la wey he san nso dey take attendance 🤣🤣🤣,Neutral
chairman santana y  😭😭😹😹😹😹 nobody dey mind am saf nso still  😭😭😭,Negative
i do some i no sick saa den the card die since  ☺️,Negative
bra bra i’m not in the mood…their reply was a waste to girls who bleedlast i checked u don’t bleed,Negative
today i say make i wear pad then see herh saa pad mu yd ei my balls all make cold😩,Negative
mr mensah x king paluta the money official music video,No Sentiment
my own lef me go marry after  years ur own sef considered u saa for  years she deserves a degree certificate sha,Negative
bra kwesi fb,Neutral
so dis gender kraa y😤 u claim u arent ready for a relationship bt ready to spend and accept every gift de guy offers😒 chale if i follow dis people ago talk saa🙄🚶🚶,Negative
na toddy boley dey stadium bridge nso na he dey check big chance for flashscore 🤣😂 ur man cant believe it 🤣😂  sldlpuus,Negative
kuyabonakala ukuthi umdala buzwe usabiza i bra nge body 🤣🤣🤣🤣 i am 💀,Neutral
new ne gyimii saa,Negative
doc my woman experiences all plus lower abdominal pains at first they said she had candidiasis buh we have treated it saa no results,Negative
no more bra and shorts on my screen wheeew,Neutral
ow this shs dem nor take do you saa😂,Neutral
massa  he no talk say ghanaian no de support am  he no talk say his colleagues de eny am  charlie we all de ghana ooo bra,Negative
😂😂 i dey lie … wat we noe is sex sex saa  we can’t contribute nothing to the world,Negative
ghana roads nti everyday car for go mechanic asɛm bɛn kraa nie,Negative
i do am saa bro,Positive
but actually its true paaa until you shout easy bra 🤣,Neutral
after all this rigged world cup u saa want the golden boot😂😂,Positive
sons of dr osei kwame despite stepped in clean for his st birthday celebration yesterday 📸  no copyright infringement intended all rights and credits are reserved for the rightful owners,Positive
i drop saa buh still ano get 🙏,Negative
were you there when sark rejected record deals where did you see him receive one masa you can’t fight aa go find warrior cos ino wan make you cry before bed aden bring numbers nso dabiaa stone dey go wey he dey fight for landlord with wale😂😂😂 mmoa mmienu,Negative
hw ooo he saa nso dey want better reason to break up chai lord whatever sinful lifestyle im living make i no mumu like this wan amen🙏,Positive
bra andy if you are talking about rounds like we go go hook up pay as you earn oo na this gifts and small small i am hungry money and some airtime and stuff like the hook up side saf be money well spent because it doesnt come with stress and the emotional damages,Negative
this time yaa charrge s gyata forgetti ghacemhappy birthday to you bra john 🎂🎉🎈🎊,Positive
😂😂😂u dey here dey advertise alcohol say make we drink,Negative
ei everton nsoleme keep quiet,Positive
u get money come pay saa nso dey spy ur phone topwhy not stay home nd check onlineedey vex me pass but once a while adey pass through especially ucl night sekof the atmosphere b epic 🔥🔥,Neutral
ive drop saa you dont want to follow me some 😔,Negative
this is why some of us are against this trumuutrumuu thing oo you talk nso a they’ll say you’re homophobic hmm,Negative
dem hype my man saa all tournament one match p kill ein career,Negative
ohh really saa i think he was our best player without scientific data source he deserves the award,Neutral
chale man for bɔɔ bra oo hmm  stg,No Sentiment
wobisa s saawotumi hire fine girls nkoaaa wor wo video mu nso you nor dey touch dm seff s y wo f 😂,Positive & Negative
yo wode wey things you dey spy like that😅,Neutral
he wont give up nso maybe u shld rather reach for your my first grammar book let it show u the corelation between  flagstaff housepalace as seats of authority and stadiumburma camp sports field as playgrounds 😜,Neutral
bra mike said he’s posted on the block watching his opps,No Sentiment
do your way bra,No Sentiment
come n like this guy’s comment wai na nye saa… because eii,Neutral
nso dem wey dey make noise 😂😂😂,Positive
no be like say adey chop omotuo oo gentleman man saa na ulcer,Negative
chelsea foc nso de see how happy you’re after getting this ntebe player,Neutral
😂😂😂😂bra yimma say time no dey oo hours reply,Negative
in ya eyes bra,Neutral
i shock give am waaaaaaa rasta bɛn nie,Negative
a shock koraa turkey too be place we dey hustle for wey he brag saa like that 🤣🤣🤣🤣,Negative
if nigerian artists are rec in ghana as international then king sarkodie hands down bra sammy,Positive
bra y steady okay,Negative
na ass no nso y round round te s watamelon,Neutral
birthday girl❤️🎉🎉 bra andy bless ur girl🤩 feb daybreakhitz  🤩😍  s,Positive
so wode how you fit know if the back up they effective or not or ebe play thing cus people dey visit but them dey hide under the shadows of wode 😂,Negative
blacko too go gv us bel mu bel 😂😂😂😂 asem bɛn koraa nie,Negative
yafollow afollow saa nso 😂😂😂😂😂,Neutral
who dey cry  adey cry over kaly jay 🤣🤣woy kwasia saa,Negative
our ɛyɛ red wa te,Negative
boss i drop saa nsoprove to me that its real🙏❤  sn,Neutral
good morning bra andy i’m deetrid godella from botwe the answer to the question is tumor daybreakhitz,No Sentiment
ah ebi passport dem dey use to travel eii saa🤔🤔,Neutral
everyone in that region will get highsiasm saa,Negative
a laugh saa charle 😅😅💀,No Sentiment
be like i will never win some oo since last week till now i’ve been participating saa but nothing  lawrence asante,Negative
wo rushi saa nso wo tailor kraa ny papa biaa saa ah kabutey paa😂😂😂,Negative
yesu this time dier look sharp give me your notification dey on sef i drop saa i never get,Negative
bra mike be like he go dey the road keep 😂😂as for nii armah dierr make he forget or the beyonce collab would do it for him 😂,Negative
the gallaghercheek pivot di we go see mmom kovacic nso di ei,No Sentiment
if u no no football dont talk about it bra 🤣🤣🤣,Negative
industry no obia pretene nti me ndi mu agoroobesre wo anim nanso nakuma no aproonly time a mene boys hyia ye backstageeno koraa yebo nkomo kakra a we have spacei dont wanna get too comfortable with a niggaeba ne saa a wo ka me ho asem a me back case😊😊🦅🦅🦅🦅🦅,Negative
i don’t want to look rich but to create wealth to impact people’s lives – wode maya   skfsbsqcw,Positive
kwasia me adey love boobs how😂😂eno be  wey dey love you di gyimie saa😂😂,Positive
the girl doesn’t like you buh when she sees you with another girl and she’s jealous…no nso y dn no be bayisem be that,Negative
na u sark nation or who u mennerz dey call ursef u figa ur brains wrk pass anyone anaa gyimi keka kwa😤😤😤 dats yy ur mcm is still a local champion yɛbu ɛbɛ bi sɛ ɔkɔmfoɔ wagyimi no ne bosom nso agyimi,Negative
i send “enokay” my number “” saa he no send me money 🥲🥲😂😂😂😂💀,Negative
pls na pik nso he or she begs,Positive
bo wo bra,Negative
newmusicalertogidi brown  broken heart produced by bra dondo shub  stcotpenepefc,Neutral
e be the akohwi bra too booze then chicks,Neutral
gambo that vgma dey do meet and greet sef dem no dey invite am nu what he go do for grammys branch for africa nominee,Neutral
crashing nu y mu levels we dey stage one he’s basically saying help us not to get to stage  ny saa la wu,Negative
you no hy da fine saa but y normal,Negative
miracle paa 🤣🤣🤣 gidigidi nso nothing,Negative
aane yemi no hear he dey tell the girls lol 😂,Negative
me and you get beef bra 😂😂😂,Negative
wey reshuffle smh ab koro nsuo 🤦‍♂️,Neutral
aaa saa na de keeper be mason😂😂,Neutral
see the way wamuna nanim nso jon,Negative
they insulted you for this then i will be insulted almost everyday because ide wear any cover ups its my gym bra amp shorts i cant be washing plenty things biko,Negative
kg breast be ¢ na akokɔ no ankasa yɛ tɔ no sɛn,Neutral
dey won bra,Positive
i dey wan big money saa wey i go select win ove for ajax chai 😂,Positive
you dey mind saa kwasia boi wei,Negative
wode be hard guy,Neutral
ebi so the world deywodeɛ ɛyɛ wo yaɔde akyɛ wo koraa,Positive
asin everything she go put on from pant to bra go dey her status,Negative
i dey front seat saa nso nothingebi obinim backside dey motivate me me nsua hwee heeehee,Negative
i work oo and i hadnt slept the night before bruh i sit work saa till end of day i no go lunch self 🤣,Negative
ur avi der pressure oooswag boilol crucifix,Positive
chale y u dey lie me u no ff,Negative
ok a dey weg,Positive
how far,Positive
mmo wayɛ adeɛ “ may   inoedeybiz medi wakyi di makyi bi wai”,Positive
may   inoedeybiz medi wakyi di makyi bi wai,Positive
o charley,Neutral
chaley typical twi paa  thumbs up,Positive
allow am small wae   wopɛ koraa dodo,Positive
and  twi i beg how do i get tha twi alphabets,Non Twi
chaley ffbk wai,Positive
twi b wat,Positive
i dey chop beans no be watse,Positive
ampa ara “  yhh ibi true”,Positive
yhh ibi true,Positive
saa na ɛyɛ “ “ mframa de hoo repɛ adeɛ a ɔnya”herh charle i dey feel u wate u dey fit mke i laugh saa”,Positive
“ mframa de hoo repɛ adeɛ a ɔnya”herh charle i dey feel u wate u dey fit mke i laugh saa,Positive
paa “ you dawged me     ei whereve u been”,Neutral
you dawged me     ei whereve u been,Non Twi
u dey uk wey u dey talk twi like dat nu  aso mu nni nkwantia,Positive
hahahaha  chaleu gt ghanaian language keyboard or wat   ohia yɛdi no wɔ fie na yɛnni no,Positive
lol  efi sɛ mo a mote ghana no nka ntwerɛ twi no “ u dey uk wey u dey talk twi like dat nu  aso mu nni,Positive
buei  some serious twi bwoooooiii ☺👊   aane “  yoo ma ti i hope sɛ birib…,Non Twi
wat can com can com nw dat its comin he dey run oh powers,Ghanaian Pidgin
folo me bak wae,Positive
real talk     obi nni wo a ɔfrɛ wo aboa bi,Positive
twi “ abg wch language b dis wan again   sɛdeɛ sekan teɛ no saara nso na bɔha teɛ”,Positive
dey there eh “ ahoɔfɛ ntua ɛka”,Positive
some serious twi bwoooooiii ☺👊 “ aane “  yoo ma ti i hope sɛ biribi ara da bim””,Positive
richman go die poor man too go die  osikani bɛwu ohiani bɛwu,Positive
onyame mmoa na ghana nto aba no asomdwoeɛ mu    days left for election   cont,Positive
e hard ooo“ i dont know if theres a living corpse “ touching a dead corpseeeeeei””,Non Twi
every money be money  wommu kaperɛ a wonnya damma,Positive
deep   awaduro mmienu redi asie a kosua se merekɔ pata,Positive
we tke giv ust class    nnipa baanu gyimi a efie bɔcc,Positive
buei  some serious twi bwoooooiii ☺👊   aane “  yoo ma ti i hope sɛ biribi ara da bim,Positive
nigerian pidgin lexicon bi like that,Neutral
verify something thats the twi for snow she dey form 🔥  shw,Positive
all of u get problem,Negative
massa i doff my hat to you you be wise waaaa,Positive
n is that kumawu u have there as ur header😳😳👊👊,Neutral
hmm you see rich man wey dey listen to advice before,Neutral
airdrop fo telos bsc ehereum defi,Neutral
airdrop fo telos bsc ehereum defi  nft games,Neutral
dreamfarmwax offering is real offering i wanna tokens,Positive
demon gonna rise up with game nft lets hype and rise,Positive
u force😂,Positive
all my guy dey try put here be say no try jump fire if you sabi say cotton dey ur nyas na ur own wahala be that oooo,Neutral
ah that be serious proverb 😂😂😂,Neutral
ah chale 😂😂,Neutral
airdrop roya token that i wanna get into my wallet thanks for the oppounity to the moon 🚀🌒,Positive
bro you know the kind deals your pastor sef dey do dey take survive for this ghana you guys are just to naive 😂😂😂,Neutral
masa three noaa na y p,Neutral
oh hell naw you lot ain’t slick those who instigated the votes were never ewes it were the akans who settled there during the war at the meantime some chiefs in the noh swear alliengience to otumfuo on the land of the ewes and want a land of their own which is not theirs,Neutral
abi u dierr u be peter😂😂,Neutral
there noor  the usual no point arguing with you fail to reason lol you think you are reasoning lets learn to engage,Positive
if you no wise up with women them go turn you into gyimi or okotobonku,Negative
defi gin dapp blockchain airdropgin,Neutral
why do you tag a stranger ion even understand this shit,Neutral
e leff small like we dey find him naa wey he saa lost again so we still searching 😤😤,Negative
he is a joke aswere 😂😂😂😂 see who get criticizing mouth ay no go mess like this 😂😂😂 depression di saa 😂,Negative
i saa drop again,Negative
so me ano dey inside or wat😭😭 nagodfc  i have reply saa buh still not received mine aww😭😭  spgvo,Negative
chale i watch the thing liketimesi laugh saa😂😂😂puom music😂🔥,Positive
i barb but my point is some want u to move almost immediately even if they can see it’s not convenient for u like maybe there’s another car blocking u in the other lane one time one driver did that and i intentionally blocked him saa until he changed direction,No Sentiment
yaa dey😂😂😂😂,Neutral
this one says atsu has been foundthis also says he hasnt been foundfirst to break the news foɔwe begthink about his wife and family okdem dey go through alotmu pɛ saa dodo,Negative
i drop saa i tire sef,Negative
chairman pls today di bless me with some amount na your give aways never reach my turn  yaw agyei,Negative
i check saa i no get some man no nice 😒,Negative
your own dey come aboa bi ba bi saa,Negative
this thing some do me before  adey check in some white couple wey them dy stress me  wey atalk for twi inside sey “mo h’adwen o” the man say saa plus the twi accent wey them dy laugh bro 😂😂😂😂😂atear roff,Neutral
as dem chop your mother saa what she get from am,Negative
dem bench am saa last minute kraa before he come play some,Positive & Negative
chale i laugh saa 😂😂😂 sark er,Neutral
me too make i drop i did saa u didnt see the tweet i try to find it too have engage saaa ur tjunhs kwaaa adey see brogad,Negative
aaah u koraa why cuzz dis morning u dey broke boys our top saa wosop😂😂😂,Neutral
stonebwoy trying to connect himself with big artists but some ghanaians dey troll him moa,Negative
we like am saa wai please tell your people that defeats are also part of the game ok,Neutral
saa al batin team wey ibi relegation nor dem go go laarh 😭😭😭😭,Neutral
akwasi appiah sef no go come😂💔,Neutral
i drop saa but it never reach me   make i receive the blessing some,Negative
afi do saa then i conf then i go vex dawg🤣,Negative
the boys call me saa i’m back,Positive
allah yabada saa,Non Twi
you go do saa then the thing go tear ein eye top …first time proper come your life inside see what you dey do,Negative
piratebay wey them barb them saa😹😹  sgjn,Neutral
ladies like diz kinda style alot u lyk sambody u will wait till sambody cams to give u competition for me i blame yaa you had this guy to yourself in the past n always sayn no to him,Negative
yaw tog e dey chop oo,Neutral
nanka dem saa for lash am as he dey ground,Negative
we dey do this thing againwe go play saa then dem equalize,Neutral
dem plant some greens saa add tree senior contractor go vex oooo,Neutral
i drop my number saa ano get the momo some ebi ghost wey dey do me so or wat,Neutral
chale the song den dey play for the video inside nu … dem dey play for funeral under waa… i search am saa i taya abeg where ago get the full mix,Negative
u never dey follow to bro🤣🤣 i do saa,Negative
😂i laugh saa,Positive
nigga dey blow nonfa saa 😂,Negative
nah akosua achiaa fine too much why,Positive
so addo d do saa make finance minister still dey on power,Neutral
ah buh you sef one day some lady go choose you😂😂wo saa no,Neutral
that food a try saa but never been successful eating it,Negative
as boys wan buy nursing forms give yaw tog de we go do contribution give kwesi arthur too then he take go dubai then do some mason work cos he shun dey do music😭😂,Neutral
i laff saa that guy is cursing saa 😂😂😂,Positive & Negative
notifications also on been tweeting saa but u no mind me all the same,Neutral
we need a marriage minister na the girls dey cheat we you go dey plus them saa na old man bi come take we want them to be married by force to us,Neutral
you go do saa then his record label go find u in public and do the needful hmm,Ghanaian Pidgin
i love the way this akosua girl get passion give sports  i love you girl… go on doing your own thing na god is watching wai ❤️🇬🇭,Positive
so chelsea do eye red saa buy enzo,Positive
song wey yaa pono dey top bi top notch 🔥 banku,Positive
bestie bestie saa den u eat am 😭,Positive & Negative
this guy i score am saa,Neutral
chale “yaa maame” dey,Neutral
she no dey see the fine fine black americans wey get nice nyash for usa sef dey pri marry black man😂😂na you akosua ageyapomaaa from ghana you want white manna where you go meet some for sef,Negative
no be that alone bro i dey take madrid win bet saa i bet the game under  wey put big one for topi am still smiling 😂😂😂,Positive
saa god go come atiabanku,Neutral
pressure from who u watch wonna match today plus everton…go check highlights dem chop yellow saaa bugabuga,Negative
you guys bought lukaku dede saa na he turn banku😂,Negative
bet deir you for use  your mind to it ooo else dem go chop you saa,Neutral
norr we dey joke dey joke but charle this be someway paaa oh  why these people dem just no go fi free dem  these people sef i sure sey dem struggle saa before dem get people come do this thing ibi wickedness or what  kmt  snzipogudm,Negative
jon when will you change your mindset you say same to yaw tog not to feature sarkodie buh rydee  where he dey,Non Twi
bossu them do saa all my money leff ghps aah i conf seff,Negative
blakk rasta ankasa no bro shda know am saa oo aboa banku be popular pass am mmom,Negative
hmm saa i no realize that sef,Neutral
you go do saa then i lash you,Negative
so god dey play us like tv game ny saa,Negative
i just sleep saa everybody do ein partthe japanese guy for celtic score,No Sentiment
chairman  toast me plus momo giveaway saa,Negative
your boyfriend ein friend buy car but you wey dey  sit for front  eii akosua brobbey,Negative
yaa we beg time no reach,Positive
i laugh saa,Neutral
akosua too dey hold oooo,Neutral
big ups to senegaleseteam  you dae see how them dae do perfect selections without kululu nkrasisem saa na afi so s i know my level   tell them,Negative
i drop saa boss,Neutral
you no get money dier saa  well spend and spend and youll continue to cry and cry 😂😂😂😂,Negative
blacko go do saa na sad boys start dey drip like this😂😂  swhrp,Neutral
make dem know idol sie line saa😂😂😂,Neutral
aww bossman please dont forget me ds evening too really dey beg ui tweeted saa ds morning but nothing not ds evening please,Negative
chale the bet i try register saa e nor dey work ooo,Negative
boss no check ma page i post saa,Negative
somebody feature you in his song too ahh you dey jab sarkodie hmmn yaa pono ankasa eeeiii atiabanku,Negative
it dey bost my brain saa,Neutral
🙏  i drop saa but i never chop some before🙏🙏🙏,Neutral
the way chelsea fans dey refresh fabrizio ein page nbs dem go do saa till the phone ankasa restart,Neutral
e hard oo mechanics dey fit like me saa then i dey beg,Negative
one slip you talk am saa,Negative
yaa no bi bad kindly ff back odo,Positive
hahaha ah see omo de s omo anoforever she remains the goat 🐐 and go make them bleed saa 🤣🤣🤣,Negative
i tweet saa i tire,Negative
i drop saa 🙏   spnopifo,Neutral
saa ache no de he dey bore sefhe couldnt even manage ashgold,Negative
bossu i tweet saa u always dey skip me a stcoztvyhtofl,Negative
fine girls like this wey go chop money saa aswear🤔 sohofriday,Positive
saa😂😂 so ego be gbushiagbushia,Positive
😂 u messop o😂 i laf saa,Negative
you dey like the guy too much you talk saa he left so what be your problem now🤣,Negative
i tweet saa uno dey mind me sef,Negative
ahh bruh u better put some respect on akwasi appiahs name,Positive
he no dey find nehemiah eii na ono so okaa s guy no mbue nehemiah saa de gyee din nehemiah a nebue dindindin saa no hehehe wammpon aa anka agye omo da asore dan mu h hehehe,Positive & Negative
you people go hype greenwood saa then next month we go see am for nsawam prisons,Negative
we send this kinda saa enever reach wanna top that,Neutral
as shatta wale dey shade the media presenters and journalists he forget the meaning of “ cyber bullying “ … the weed smokers dey der dey do daddy dat daddy dat monitwaaasidi in yaa pono voice,Neutral
yaa pono dey love beef pass atiabanku,Positive
saa rasta wei ankasa we for lash am na be too funny 😂,Positive & Negative
so as i drop saa wey anor get somee goood bro 😥😥😥😥 wey adey follow him and more hmm,Negative
where i dey too self,Neutral
we dey hype saa den it cast,Negative
this vibe be making me laugh saa 😂😂😂  swgrd,Positive
so he do saa he get 🤝 it oooo,Positive
chale u squad for talk we things udey do oo everyday budget saa but nothing better,Negative
abena can go to hell for all i care…he should marry yaa quick sef,Negative
u force saa get handshake 🤝 wkhkyd,Positive
boss i send saa you no dey see me sef   stuyy,Negative
u dey mean say your man be yaw dabo  smznmlo,Neutral
hype saa na he flop,Negative
graham potter de s akwasi appiah y ooo😭😭😭😂💙,Non Twi
abeiku wey them skip am like back benchers and am lectures saa no,Negative
lmao he come yob we figa say he go go scot free i think about it saa😂,Neutral
chill bro sark nodey carry bozos dema matter put ihn heart saa you barb,Neutral
ah so this be yaa naa funeral,Negative
blood sample you go draw you stab stab me saa madam why i steal your something,Negative
fear women ooo bernard shock saa he no know what he go talk mpo again she no dey allow make he talk sef 😂,Negative
chale yaw dabo dey tear me oo he dey tease don little too much 😀😀😀  sg,Negative
but akwasi fodjour dey ghana dey talk say sarkodie can’t win because he no dey rap in english🤭,Negative
if you dey do konkonsa wey them talk you say “auntie ataa yaa ba no awo oo” don’t you say ei in shock,Neutral
madwen ho saa i just dont get it moretimes them for change coach,Non Twi
bossu why we finish the giveaway anaa i tweet saa ny hands all dey hurt,Negative
masa saa delete one delete one ne nonfa lyy no de unu fi stop dat tings oo,Negative
ago return the favor 😂 ago unfollow den saa block dem 😂,Negative
if aglow people still no dey get answers for the nation akosua mada koraa,Negative
yaa pono mia de song waaa 🔥🔥🔥 banku,Positive
i do saa i no win some before oo vamos 🔴🔵,Negative
you use kirkland saa from first year but nothing comeat this point dier you for start dey drink o,Neutral
dem lash you saa how dem go fear🤣,Negative
grandpa paa sei na u dey like agenda saa no,Positive
u de sometimes i wonder if ur family no dey advice you death isnt something to joke around with,Negative
lowkey yaw hero en too young song dey go on past any of kweku flick en songs,Neutral
eeei dem lose again🙆😿i know sometimes these players go in for the money kos ghana no good and all that nanso i must confess that al batin team nu dir ny oo nanka play kotoko like that eeer 😩,Negative
aww boss  abeg look ma way a tweet saa,Negative
u do saa e no reach me,Negative
lmao you know what cavs take do me😂😂😂i switch teams saa rydee i shun dey watch saf,Negative
u get small bundle noor u cam tweet nonsense dey search for attention u get yaa pono for ur family inside aa anka ego be u waa,Negative
make one artist diss yaa pono this morning make agenda sweet errr cos 😂😂😂,Negative
hmmm saa boy wei cy lost soul oo😂😂😂 i’m surprised it’s not,No Sentiment
ronaldo keeps raising the bar yaw dabo no fit reach😭😭 cr𓃵,Positive & Negative
bro adey follow u saa but ano win ur giveway some today bless me small,Neutral
messi for do something nny saa yawuadey fear pass herr😂,Neutral
song dey parp gyae saa,Neutral
chale yawa dey  syfndne,Negative
see heri know this paadont beg for water it will raindont beg for food dont beg for money saa then you die before your time pride is killing mist youth learn to beg when neededwe all need somebody to success,Negative
yaa pono ein verse on this track be wild ngl 😭🔥🔥 banku,Positive
ah they’re trying to tell me christian atsu was mistaken for somebody and that he’s still not being found akwasi broni no be competent again eeii,Negative
this song a fit repeat saa 😂😂if adey soak the album,Positive
aden he dey bring  to the world anaa,Neutral
nso u like the last part pass everyone,Neutral
yele man where u go hidenow u lost for here koraa 🤣🤣🤣🤣  me boa anaa,Neutral
you chop waakye anaa,Neutral
you cut the bet already anaa 😅🤣😂,Neutral
but this guy is he pure no one is perfect nu he no hearor he no dey comort from earth anaa nonsense person🤣😆,Negative
bob okala in clock some anaa  u no go diss am 🤣🤣🤣🤣,Neutral
make i cash out anaa last match,Neutral
chale the increasements be too much ooo,Negative
just go and help ur brother too you dey talk saaaa ahh wegyimi anaa,Negative
your bet e spoil anaa,Neutral
batis be  new team anaa,Neutral
sometimes i find it difficult to understand god sef mpo u dey dere nso,Neutral
😂😂😂 atp i’m tired but he got just like four people bi p nso ooo,Negative
beer 🍺 nso b one side here,Neutral
i just spent over hrs to uninstall amp reinstall mysql 😤😤😤this wont deter me imma gone learn am by crook oo or na hook nso oo,Neutral
disturb dey ein somewhere nso he catch stray bullet,Neutral
bet slip no endnso one team🥲sportybetcode sportybetodd sportybet ghana grammys full video on the tube😭 stcovtevwkjv,Neutral
like play like play this superstition is working nso o,Positive
ei did i just hear this boy say “i love you” at the end of the call anaa meebɔdam,Neutral
stop forcing stuffs on people 😂😂😂…ebi force anaa…,Neutral
so you go win champions league this season anaa,Neutral
e be work anaa🤔,Neutral
ya like you go buy anaa 😂,Neutral
fufu joint paa be this eh ebe cheap anaa see the girls sef 😂,Positive
bossu do you wanna spread them like runouts anaa lol,Neutral
dstv dem craze anaa just dey increase increase the prices no reason …over gh increment in a month why,Neutral
din chairman woseee anaa bia mennhu no yie y me saa leme go my front,Neutral
wo y yalefuo anaa  them say help your bro you say you put another person on  secondly none of your songs with stone blow  sia 😂,Negative
the wey u circle dat side de ibi like say somebody ein mouth ooo 🤣anaa me bo dam,Neutral
ei you dey bath with voltic anaa 😳,Neutral
dude dey eye a certain constituency anaa,Neutral
sporty tells me its invalid 🤔 anaa ebe ma house pipo,Neutral
lol 😂 you wonna spread std’s anaa 😂😂😂 you won’t even win to become president sef 😅😤,Negative
oh chaleee 😂 try him small eh anaa,Neutral
you no get some for abroad anaa😭 cashfromabroad,Negative
u be me anaa😃,Neutral
😂 bro you’re hurt anaa,Negative
ah chale anaa love of his life,Neutral
u people really dey lyk gɔbɛ anaa the usual fanfooling naaa 🤔,Neutral
aden stone and shatta bi the only dancehall artist in ghana anaa😒,Neutral
i see am like i dey come tag you😂 it be like some senior man dey run the original site wey dem take the nra pass demma side anaa wosii i get too much sense so i start dey mad 😂,Negative
dem ask you what you want for valentine yet anaa ynkɔ da😂,Neutral
hahahahaahha eehhh u bore anaa,Neutral
this one go be show and take anaa,Neutral
today letter no go come anaa,Neutral
why are you all trying to tell someone else team what should have been done 😂😂😂😂😂abeg oo quick question 🙋‍♀️ you no get team anaa …,Neutral
you people no hear say wakyee kll some people for oyibi anaa 😂,Neutral
you dey wave we anaa😂😂,Neutral
you you be fool anaa,Negative
but he talk true nso oooo anaa meeb dam u can do better tho with urm followers,Positive
chale why your content finish anaa or you no get content 🫠,Neutral
oh bro you too why anaa the it nor be it 😂😂😂😂😂😂😂,Neutral
ur news finish anaa aaaah tv paaa wei nso ye news,Negative
my easter gift that anaa😂😂,Neutral
this talking stage thing dey vex me obaa wopε me anaa wompε  😂just say it,Neutral
e dey papp anaa😳,Neutral
those of single we go fi get girl for there anaa,Neutral
where is he going to get the money to pay those polling station executives if elected as president anaa tax payers money dey 😎,Negative
sia ebe motia sika anaa 😂😂😂,Neutral
ei i thought asantewaa is married anaa 😳😳 this umar guy sef 😂 ayoo,Neutral
you be my boo already as the streets loves you i want to experiment if i will still get the pussy as they love you anaa you say i should take you like that😂😂😂💔,Neutral
😂 eget feelings anaa,Neutral
😂 make them go play amp anaa,Neutral
abeg u get nyash too anaa🤔,Neutral
u get some people wey  always dey win anaa  cos eiiii,Positive
you mean them be useless anaa,Negative
you go drink koko anaa,Neutral
shwerh wo k t waakye na amelia se esi gyaso a wo tina h twn no anaa i dey go next joint,Neutral
😂🤣u be one of dem anaa,Neutral
ebe agbelima wey pour for the road too anaa,Neutral
make someone do this and surprise me with it on val’s day err 🥲🤣anaa meyale,Positive
why u den lebron dey dere anaa,Neutral
ala guy guy nurse make boys hide them ma women anaa,Neutral
you no bed yet anaa,Neutral
haha customer is king anaa i sure say somebody look drop in top line and change en mind 🤣🤣🤣🤣🤣🤣,Neutral
card no y trophy anaa y top of the league,Neutral
them tk do u anaa 😂💀,Ghanaian Pidgin
she block you so make we go bath river jordan anaanonfa nkoaa gh here,Neutral
enokay you say make a go bed anaa cuz anor get the alert ooo 🚨,Neutral
you be minister youth employment anaa,Neutral
u wan turn jack alumi anaa,Neutral
