tweets,labels
wode maya ??,Neutral
nsuo de ebi poseidon,Neutral
???????????? bra mike nie,Neutral
?y? ?k?m menua,Negative
wo nso saa,Negative
bra benk,Neutral
mori shit? nso y? de?n,Neutral
menni watm ohh naa menny saa di matm s de wop biaa sweetheart,Neutral
aane boss ??,Neutral
nigeria nso erh,Neutral
mb bra??????,Negative
bra charles,Neutral
nokware dier ?y?,Positive
nti ?k?sii s?n,Neutral
se mema wo enzo sikam wode be ye den,Neutral
si nsuo so ??,Neutral
hwe gyimi baako nso,Negative
bra fie,Neutral
wob bo bra nono,Positive
nkramoni de? ?nka hiphop fa wo ho b?n ??,Negative
hw ono nso ????,Neutral
?y? ampa la ??,Positive
akoa b? bra wiase aa w? baa y?,Positive
as?m b?n koraa nie ??????????,Neutral
hmmm ?y? as?m oo,Negative
nkraa y?tete ne s? thiago nso ?sisi at? kyima kakra y? b? ho mpae? s?? ?ny? ade? k?se? biaa saa ????????????,Positive
bra sua nyansa kakra wae ofui,Negative
natsecurity foc nso se sn,Neutral
aba saa ??  dr paa bobo,Neutral
ne nan ho fitaa saa no advice papa b?n,Negative
?y? awer?ho?,Negative
oh bra enoch maydn??,Neutral
yn ku wo nso na y’asei wo,Negative
akwaaba ????????????,Negative
nti ne kora kora ne s?n ?? ?? ?? ?? ??,Neutral
gyimie saa na ade aky,Negative
kotoka ne acheampong koraa b bra papa sen hilla limann nny asem anka dacosta de anka wo ny footballer wc europe ??????,Negative
wode wie btoto sark ho,Neutral
ziyech nso asa,Neutral
wode bad luck bka no,Negative
akwaaba medaase  sucb,Positive
kyrie no nso de boi ????????????????,Negative
bra vini ????,Neutral
eiii bra,Neutral
??????abotr? bra ????????  sxrscxq,Neutral
nsuo by buo den obuo me tim ne me tim,Positive
akwaaba medaase  sco,Negative
?y? aa na moagyimi  stynkiak,Negative
sika wo fie y? na bra,Positive
biibi saa,Neutral
ahn saa mohm,Neutral
saa momm??,Neutral
